"Job ID";"Internal ID";"Task ID";"Project ID";"Source";"Target";"Created";"Created by";"Job due date";"Project due date";"File";"Extension";"Workflow";"Workflow level";"Job status";"Job status changed";"Project status";"Project status changed";"Linguist";"Vendor";"Wordcount";"Currency";"Rate";"Price";"Owner";"Client";"Domain";"Subdomain";"Cost Center";"Business Unit"
"200198808";"1";"u5xb7rBCihfq1UlL0_dc6";"IGBB3xVs6MEBblK9RO6qx0";"en";"ar";"03-05-2020 17:37:44";"bg_support";"";"";"Platform Agnostic_IFCN Fact Checking Organizations on WhatsApp_6.0_Public FAQ.md";"md";"";"1";"NEW";"";"NEW";"";"";"";"433";"";"0";"0";"bg_support";"";"";"";"";""
"200198809";"2";"v5xb7rBCihfq1UlL0_dc5";"IGBB3xVs6MEBblK9RO6qx0";"en";"de";"03-05-2020 17:37:44";"bg_support";"";"";"Platform Agnostic_IFCN Fact Checking Organizations on WhatsApp_6.0_Public FAQ.md";"md";"";"1";"NEW";"";"NEW";"";"";"";"433";"";"0";"0";"bg_support";"";"";"";"";""
"200198810";"3";"w5xb7rBCihfq1UlL0_dc6";"IGBB3xVs6MEBblK9RO6qx0";"en";"he";"03-05-2020 17:37:44";"bg_support";"";"";"Platform Agnostic_IFCN Fact Checking Organizations on WhatsApp_6.0_Public FAQ.md";"md";"";"1";"NEW";"";"NEW";"";"";"";"433";"";"0";"0";"bg_support";"";"";"";"";""
"200227335";"1";"X0PPeSadByuMX0Hu1_dc6";"Hzrm1r4rxBSm1Qw0eZBXJi";"zh";"en_us";"04-05-2020 09:18:24";"HrbaA";"";"";"HF本地化翻譯.xlsx";"xlsx";"";"1";"NEW";"";"NEW";"";"";"";"17770";"";"0";"0";"HrbaA";"";"";"";"";""
"200235094";"1";"bH8cjh6bNA0Wu1Hu1_dc5";"7qYTZm4VqWof3puIukLBg0";"en";"cs";"04-05-2020 10:33:23";"HrbaA";"";"";"EN text 2.docx";"docx";"";"1";"NEW";"";"NEW";"";"";"";"25";"";"0";"0";"HrbaA";"";"";"";"";""
"200328079";"2";"k0NYZzd5z5BRu8mL0_dc6";"Hzrm1r4rxBSm1Qw0eZBXJi";"zh";"en_us";"05-05-2020 07:02:01";"HrbaA";"";"";"zh Tags.xlsx";"xlsx";"";"1";"NEW";"";"NEW";"";"";"";"10";"";"0";"0";"HrbaA";"";"";"";"";""
"200328267";"3";"xf1QDycmy9xzv8mL0_dc5";"Hzrm1r4rxBSm1Qw0eZBXJi";"zh";"en_us";"05-05-2020 07:03:35";"HrbaA";"";"";"zh Tags - Copy.xlsx";"xlsx";"";"1";"NEW";"";"NEW";"";"";"";"10";"";"0";"0";"HrbaA";"";"";"";"";""
"200328447";"4";"d08QDycmy9x6w8mL0_dc6";"Hzrm1r4rxBSm1Qw0eZBXJi";"zh";"en_us";"05-05-2020 07:04:45";"HrbaA";"";"";"zh Tags - Copy.xlsx";"xlsx";"";"1";"NEW";"";"NEW";"";"";"";"12";"";"0";"0";"HrbaA";"";"";"";"";""
"200328647";"5";"wWI0Zzd5z5B13hIu1_dc6";"Hzrm1r4rxBSm1Qw0eZBXJi";"zh";"en_us";"05-05-2020 07:08:47";"HrbaA";"";"";"zh Tags.xlsx";"xlsx";"";"1";"NEW";"";"NEW";"";"";"";"10";"";"0";"0";"HrbaA";"";"";"";"";""
"200329234";"1";"";"ckvQ6BMVNcbEc1cPb3wie6";"de";"es";"05-05-2020 07:17:42";"z_support";"";"";"METO Regalordnung Katalog_ DE [OR].docx";"docx";"";"1";"NEW";"";"NEW";"";"";"";"-1";"";"0";"-0";"z_support";"";"";"";"";""
"200329458";"6";"iQq1Zzd5z555F8mL0_dc5";"Hzrm1r4rxBSm1Qw0eZBXJi";"zh";"en_us";"05-05-2020 07:23:53";"HrbaA";"";"";"zh Tags.xlsx";"xlsx";"";"1";"NEW";"";"NEW";"";"";"";"10";"";"0";"0";"HrbaA";"";"";"";"";""
"200329951";"2";"";"ckvQ6BMVNcbEc1cPb3wie6";"de";"es";"05-05-2020 07:30:21";"z_support";"";"";"METO Regalordnung Katalog_ DE [OR].docx";"docx";"";"1";"NEW";"";"NEW";"";"";"";"-1";"";"0";"-0";"z_support";"";"";"";"";""
"200330720";"3";"";"ckvQ6BMVNcbEc1cPb3wie6";"de";"es";"05-05-2020 07:39:57";"z_support";"";"";"METO Regalordnung Katalog_ DE [OR] (1).doc";"doc";"";"1";"NEW";"";"NEW";"";"";"";"-1";"";"0";"-0";"z_support";"";"";"";"";""
"200336835";"24";"";"m05ig5EH64hN9i9XwFKaa4";"en";"de";"05-05-2020 08:59:33";"dk_support";"";"";"07 A2 Köpfe Mosel PB Konstantin 1_final.docx";"docx";"Translation";"1";"NEW";"";"NEW";"";"";"";"-1";"";"0";"-0";"dk_support";"";"";"";"";""
"200336836";"24";"";"m05ig5EH64hN9i9XwFKaa4";"en";"de";"05-05-2020 08:59:33";"dk_support";"";"";"07 A2 Köpfe Mosel PB Konstantin 1_final.docx";"docx";"Revision";"2";"NEW";"";"NEW";"";"";"";"-1";"";"0";"-0";"dk_support";"";"";"";"";""
